Person Id,Surname,Title,Given Names,Teach Period,Unit Code,Team ID,Team Name
33817897,Alruwaished,Mr.,Naif,TSD,ICT302,FT01,Byte
33594122,Rasool,Ms.,Marium,TSD,ICT302,FT01,Byte
32814959,Farai,Ms.,Zahara,TSD,ICT302,FT01,Byte
33257026,Manoharan,Mr.,Arjun,TSD,ICT302,FT01,Byte
33154184,Pereira,Mr.,Andrew,TSD,ICT302,FT01,Byte
33717834,Joseph,Mr.,Brook,S2,ICT303,FT11,Team AUS
33808628,Fox,Ms.,Anika,S2,ICT304,FT11,Team AUS
33495252,Turner,Ms.,Xanthe,S2,ICT305,FT11,Team AUS
33824907,Holmes,Mr.,Arbaaz,S2,ICT306,FT11,Team AUS
33240863,Woodard,Mr.,Faizaan,S2,ICT307,FT11,Team AUS
33790462,Wells,Ms.,Lyla-Rose,TMA,ICT308,FT32,Team SIG
33772602,Davila,Ms.,Haleema,TMA,ICT309,FT32,Team SIG
33736398,Dominguez,Mr.,Kaydan,TMA,ICT310,FT32,Team SIG
33458187,Santos,Mr.,Adnan,TMA,ICT311,FT32,Team SIG
33248206,Terry,Ms.,Sarah-Jayne,TMA,ICT312,FT32,Team SIG
